uid,group,join_dt,device
1000000,B,2023-01-28,I
1000001,A,2023-01-27,A
1000002,A,2023-02-01,A
1000003,B,2023-01-25,I
1000004,A,2023-02-04,A
1000005,B,2023-01-26,A
1000006,B,2023-01-31,A
1000007,A,2023-01-25,A
1000008,A,2023-02-05,A
1000009,A,2023-01-31,A
1000010,B,2023-02-01,I
1000012,B,2023-01-25,A
1000013,A,2023-01-25,A
1000014,A,2023-01-28,A
1000015,A,2023-01-29,A
1000016,A,2023-01-28,I
1000017,B,2023-01-26,A
1000018,B,2023-01-26,I
1000019,B,2023-01-25,A
1000020,A,2023-02-01,A
1000021,B,2023-01-29,A
1000022,B,2023-01-25,A
1000023,B,2023-01-29,I
1000024,A,2023-01-25,A
1000025,A,2023-01-25,I
1000026,B,2023-01-27,A
1000027,B,2023-01-31,I
1000028,A,2023-01-28,A
1000029,A,2023-01-25,A
1000030,A,2023-01-26,I
1000031,B,2023-01-25,I
1000032,A,2023-01-27,I
1000033,A,2023-01-31,A
1000034,A,2023-01-26,A
1000035,B,2023-01-27,A
1000036,B,2023-01-30,A
1000037,B,2023-01-26,A
1000038,A,2023-01-25,A
1000039,B,2023-02-04,A
1000040,A,2023-01-25,A
1000041,A,2023-01-27,A
1000042,A,2023-01-25,I
1000043,B,2023-01-25,A
1000044,B,2023-01-27,A
1000045,B,2023-01-26,I
1000046,A,2023-01-26,I
1000047,A,2023-01-26,A
1000048,A,2023-01-26,I
1000049,A,2023-01-26,A
1000050,A,2023-01-29,A
1000051,B,2023-01-29,I
1000052,B,2023-01-30,I
1000053,A,2023-01-28,A
1000054,B,2023-01-25,A
1000055,A,2023-01-25,A
1000056,B,2023-01-29,A
1000057,B,2023-01-26,A
1000058,A,2023-01-26,A
1000059,A,2023-01-27,A
1000061,B,2023-01-25,A
1000062,B,2023-01-25,I
1000063,A,2023-01-27,A
1000064,B,2023-01-31,A
1000065,B,2023-02-01,I
1000066,A,2023-01-25,A
1000067,A,2023-01-27,A
1000068,B,2023-01-30,A
1000069,B,2023-01-30,A
1000070,A,2023-01-26,I
1000071,B,2023-01-31,I
1000072,B,2023-01-28,I
1000073,A,2023-01-29,A
1000074,B,2023-01-30,A
1000075,A,2023-01-30,A
1000076,A,2023-01-25,I
1000077,A,2023-01-25,
1000078,A,2023-01-26,A
1000080,A,2023-01-26,A
1000081,A,2023-01-26,A
1000082,B,2023-01-25,A
1000083,A,2023-01-27,A
1000084,A,2023-01-26,A
1000085,A,2023-01-26,I
1000086,B,2023-01-28,A
1000087,B,2023-01-28,A
1000088,B,2023-01-27,A
1000089,A,2023-01-25,I
1000090,B,2023-01-27,A
1000091,B,2023-01-26,A
1000092,B,2023-02-03,I
1000093,B,2023-01-30,I
1000094,B,2023-01-26,A
1000095,B,2023-01-27,I
1000096,B,2023-01-29,A
1000097,B,2023-01-26,I
1000098,A,2023-01-30,A
1000099,A,2023-02-03,A
1000100,B,2023-01-31,A
1000101,B,2023-02-02,A
1000102,A,2023-01-28,A
1000103,A,2023-02-02,A
1000104,A,2023-01-29,A
1000105,A,2023-01-25,I
1000106,A,2023-01-27,A
1000107,A,2023-01-25,A
1000108,B,2023-02-02,A
1000109,B,2023-01-25,A
1000110,A,2023-01-29,A
1000111,B,2023-01-27,A
1000112,A,2023-01-28,A
1000113,B,2023-01-28,A
1000114,A,2023-01-28,I
1000115,A,2023-01-27,A
1000117,A,2023-01-29,I
1000118,B,2023-01-25,
1000119,B,2023-01-29,A
1000120,B,2023-01-28,I
1000121,B,2023-01-25,A
1000122,A,2023-01-28,A
1000123,B,2023-01-26,I
1000124,B,2023-01-30,A
1000125,A,2023-02-04,A
1000126,A,2023-02-03,I
1000127,B,2023-01-26,A
1000128,B,2023-02-03,A
1000129,A,2023-01-31,I
1000130,B,2023-01-27,A
1000131,A,2023-01-25,A
1000132,B,2023-02-06,I
1000133,A,2023-01-29,I
1000134,B,2023-01-28,I
1000135,B,2023-01-25,I
1000136,A,2023-01-25,A
1000137,A,2023-01-29,A
1000138,B,2023-01-28,I
1000139,A,2023-01-25,I
1000140,A,2023-01-27,I
1000141,A,2023-01-25,A
1000142,B,2023-01-26,
1000143,B,2023-01-25,I
1000144,A,2023-01-26,I
1000145,A,2023-01-25,I
1000146,A,2023-01-29,A
1000147,A,2023-02-03,A
1000148,A,2023-01-26,I
1000149,A,2023-01-25,I
1000150,B,2023-02-05,I
1000151,A,2023-01-28,I
1000152,B,2023-02-06,I
1000153,B,2023-01-27,A
1000155,A,2023-01-26,I
1000156,A,2023-01-25,I
1000157,A,2023-01-28,I
1000158,A,2023-01-26,I
1000160,A,2023-01-25,A
1000161,A,2023-01-31,A
1000162,A,2023-01-27,A
1000163,B,2023-01-29,A
1000164,B,2023-01-26,A
1000165,B,2023-01-30,I
1000166,A,2023-02-04,A
1000167,A,2023-01-25,A
1000168,A,2023-02-05,A
1000169,A,2023-01-26,I
1000170,B,2023-02-01,A
1000171,A,2023-01-27,I
1000172,A,2023-01-25,I
1000173,A,2023-01-25,I
1000174,B,2023-01-29,A
1000175,A,2023-01-25,I
1000177,A,2023-02-02,A
1000178,B,2023-02-03,I
1000179,B,2023-01-27,A
1000180,B,2023-01-25,I
1000181,A,2023-02-03,I
1000182,B,2023-01-31,A
1000183,B,2023-01-27,A
1000184,A,2023-01-25,A
1000185,B,2023-02-04,I
1000186,A,2023-02-01,A
1000187,B,2023-01-26,I
1000188,B,2023-01-25,A
1000189,B,2023-01-25,I
1000190,A,2023-02-05,I
1000191,B,2023-01-25,A
1000192,A,2023-02-05,I
1000193,B,2023-01-26,A
1000194,A,2023-01-31,A
1000195,A,2023-01-25,A
1000196,A,2023-01-26,A
1000197,B,2023-01-30,A
1000198,A,2023-01-28,A
