id,country,gender
1000000,CAN,M
1000001,BRA,M
1000002,FRA,M
1000003,BRA,M
1000004,DEU,F
1000005,GBR,F
1000006,ESP,M
1000007,BRA,F
1000008,BRA,F
1000009,USA,
1000010,BRA,M
1000012,USA,M
1000013,GBR,F
1000014,USA,M
1000015,AUS,F
1000016,DEU,F
1000017,MEX,O
1000018,USA,M
1000019,MEX,F
1000020,AUS,M
1000021,GBR,M
1000022,DEU,F
1000023,BRA,M
1000024,CAN,M
1000025,USA,M
1000026,DEU,F
1000027,BRA,
1000028,BRA,F
1000029,MEX,M
1000030,FRA,F
1000031,GBR,F
1000032,GBR,
1000033,FRA,
1000034,USA,M
1000035,USA,F
1000036,USA,F
1000037,TUR,M
1000038,BRA,M
1000039,GBR,F
1000040,USA,F
1000041,CAN,M
1000042,BRA,F
1000043,,F
1000044,USA,
1000045,USA,F
1000046,BRA,M
1000047,USA,F
1000048,CAN,F
1000049,USA,F
1000050,MEX,M
1000051,MEX,
1000052,BRA,M
1000053,BRA,M
1000054,GBR,F
1000055,ESP,M
1000056,AUS,M
1000057,BRA,O
1000058,TUR,F
1000059,DEU,F
1000061,DEU,M
1000062,AUS,F
1000063,USA,F
1000064,CAN,M
1000065,TUR,F
1000066,DEU,
1000067,BRA,M
1000068,GBR,F
1000069,ESP,M
1000070,ESP,M
1000071,USA,F
1000072,DEU,F
1000073,USA,M
1000074,BRA,O
1000075,GBR,M
1000076,USA,F
1000077,AUS,F
1000078,FRA,F
1000080,USA,
1000081,USA,F
1000082,BRA,M
1000083,BRA,F
1000084,MEX,M
1000085,MEX,M
1000086,BRA,M
1000087,ESP,M
1000088,,O
1000089,BRA,F
1000090,USA,F
1000091,BRA,M
1000092,BRA,
1000093,TUR,M
1000094,DEU,M
1000095,CAN,F
1000096,USA,F
1000097,MEX,O
1000098,GBR,M
1000099,USA,
1000100,,M
1000101,MEX,F
1000102,USA,M
1000103,BRA,M
1000104,USA,
1000105,USA,M
1000106,TUR,
1000107,BRA,
1000108,MEX,M
1000109,MEX,M
1000110,USA,M
1000111,GBR,
1000112,USA,F
1000113,BRA,M
